C:\Users\capma\Documents\GitHub\PuzzleMDCV\venv\Scripts\python.exe C:\Users\capma\Documents\GitHub\PuzzleMDCV\contouring.py 
Length of filtered contours: 24
Number of color changes on the plot: 7
(93, 1222)
(94, 1221)
(95, 1220)
(95, 1219)
(95, 1218)
(95, 1217)
(96, 1216)
(96, 1215)
(97, 1214)
(97, 1213)
(97, 1212)
(97, 1211)
(97, 1210)
(97, 1209)
(97, 1208)
(96, 1207)
(96, 1206)
(95, 1205)
(95, 1204)
(95, 1203)
(95, 1202)
(94, 1201)
(94, 1200)
(94, 1199)
(94, 1198)
(94, 1197)
(95, 1196)
(96, 1195)
(97, 1194)
(98, 1193)
(99, 1193)
(100, 1192)
(101, 1192)
(102, 1191)
(103, 1190)
(104, 1190)
(105, 1190)
(106, 1189)
(107, 1189)
(108, 1189)
(109, 1189)
(110, 1189)
(111, 1189)
(112, 1189)
(113, 1189)
(114, 1190)
(115, 1190)
(116, 1191)
(117, 1191)
(118, 1192)
(119, 1192)
(120, 1193)
(121, 1194)
(121, 1195)
(122, 1196)
(122, 1197)
(122, 1198)
(121, 1199)
(120, 1200)
(120, 1201)
(119, 1202)
(119, 1203)
(119, 1204)
(118, 1205)
(118, 1206)
(118, 1207)
(117, 1208)
(117, 1209)
(117, 1210)
(117, 1211)
(117, 1212)
(116, 1213)
(116, 1214)
(116, 1215)
(116, 1216)
(117, 1217)
(117, 1218)
(118, 1219)
(118, 1220)
(119, 1221)
(120, 1221)
(121, 1221)
(122, 1222)
(123, 1222)
(124, 1222)
(125, 1222)
(126, 1222)
(127, 1222)
(128, 1222)
(129, 1222)
(130, 1222)
(131, 1222)
(132, 1222)
(133, 1222)
(134, 1222)
(135, 1221)
(136, 1221)
(137, 1221)
(138, 1221)
(139, 1221)
(140, 1221)
(141, 1221)
(142, 1221)
(143, 1221)
(144, 1221)
(145, 1221)
(146, 1221)
(147, 1220)
(148, 1220)
(149, 1220)
(150, 1220)
(151, 1219)
(152, 1219)
(153, 1219)
(154, 1219)
(155, 1219)
(156, 1218)
(157, 1218)
(158, 1218)
(159, 1218)
(160, 1218)
(161, 1217)
(162, 1217)
(163, 1217)
(164, 1217)
(165, 1217)
(166, 1216)
(167, 1216)
(168, 1216)
(169, 1216)
(170, 1215)
(171, 1215)
(172, 1215)
(173, 1215)
(174, 1215)
(175, 1214)
(176, 1213)
(176, 1212)
(176, 1211)
(176, 1210)
(176, 1209)
(176, 1208)
(176, 1207)
(176, 1206)
(176, 1205)
(176, 1204)
(176, 1203)
(176, 1202)
(176, 1201)
(176, 1200)
(175, 1199)
(175, 1198)
(175, 1197)
(174, 1196)
(174, 1195)
(174, 1194)
(173, 1193)
(173, 1192)
(173, 1191)
(173, 1190)
(173, 1189)
(173, 1188)
(172, 1187)
(172, 1186)
(172, 1185)
(172, 1184)
(172, 1183)
(172, 1182)
(172, 1181)
(172, 1180)
(172, 1179)
(172, 1178)
(173, 1177)
(173, 1176)
(174, 1175)
(175, 1175)
(176, 1174)
(177, 1174)
(178, 1173)
(179, 1173)
(180, 1173)
(181, 1173)
(182, 1173)
(183, 1173)
(184, 1173)
(185, 1174)
(186, 1174)
(187, 1174)
(188, 1174)
(189, 1174)
(190, 1174)
(191, 1174)
(192, 1174)
(193, 1174)
(194, 1173)
(195, 1173)
(196, 1173)
(197, 1172)
(198, 1171)
(199, 1170)
(200, 1169)
(201, 1168)
(202, 1168)
(202, 1167)
(203, 1166)
(204, 1165)
(204, 1164)
(205, 1163)
(205, 1162)
(206, 1161)
(206, 1160)
(206, 1159)
(206, 1158)
(206, 1157)
(206, 1156)
(207, 1155)
(207, 1154)
(207, 1153)
(207, 1152)
(207, 1151)
(207, 1150)
(207, 1149)
(207, 1148)
(207, 1147)
(206, 1146)
(206, 1145)
(206, 1144)
(206, 1143)
(206, 1142)
(205, 1141)
(205, 1140)
(204, 1139)
(203, 1138)
(202, 1137)
(202, 1136)
(201, 1136)
(200, 1135)
(199, 1135)
(198, 1135)
(197, 1135)
(196, 1135)
(195, 1135)
(194, 1135)
(193, 1135)
(192, 1135)
(191, 1135)
(190, 1135)
(189, 1136)
(188, 1137)
(187, 1138)
(186, 1139)
(185, 1140)
(184, 1141)
(183, 1142)
(182, 1142)
(181, 1143)
(180, 1143)
(179, 1144)
(178, 1144)
(177, 1144)
(176, 1144)
(175, 1144)
(174, 1143)
(173, 1143)
(172, 1142)
(172, 1141)
(171, 1140)
(171, 1139)
(170, 1138)
(170, 1137)
(169, 1136)
(169, 1135)
(169, 1134)
(169, 1133)
(169, 1132)
(169, 1131)
(169, 1130)
(169, 1129)
(169, 1128)
(168, 1127)
(168, 1126)
(168, 1125)
(168, 1124)
(168, 1123)
(168, 1122)
(168, 1121)
(168, 1120)
(168, 1119)
(168, 1118)
(168, 1117)
(168, 1116)
(168, 1115)
(168, 1114)
(168, 1113)
(168, 1112)
(168, 1111)
(168, 1110)
(168, 1109)
(168, 1108)
(168, 1107)
(168, 1106)
(168, 1105)
(168, 1104)
(168, 1103)
(168, 1102)
(167, 1101)
(166, 1101)
(165, 1100)
(164, 1100)
(163, 1100)
(162, 1100)
(161, 1100)
(160, 1100)
(159, 1100)
Angle: 90.0°, Points: [(124, 1128), (125, 1129), (126, 1131), (125, 1132)]
Angle: 90.0°, Points: [(48, 1110), (47, 1110), (45, 1110), (45, 1111)]
Angle: 90.0°, Points: [(48, 1225), (48, 1226), (49, 1228), (50, 1228)]
Angle: 90.0°, Points: [(118, 1192), (119, 1192), (121, 1194), (121, 1195)]
Angle: 90.0°, Points: [(118, 1219), (118, 1220), (120, 1221), (121, 1221)]
Angle: 90.0°, Points: [(173, 1215), (174, 1215), (176, 1213), (176, 1212)]
Angle: 90.0°, Points: [(202, 1137), (202, 1136), (200, 1135), (199, 1135)]
Angle: 90.0°, Points: [(168, 1104), (168, 1103), (167, 1101), (166, 1101)]
My informative points of length: 8 are: [(125, 1130), (46, 1110), (48, 1227), (120, 1193), (119, 1221), (175, 1214), (201, 1136), (168, 1102)]
Coins: [(46,1110),(48,1227),(175,1214),(168,1102)]
Process finished with exit code 0
